Analyzing c:/dev/projects/aegis\.gitignore with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\best-practices\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\best-practices\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\dependencies\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\dependencies\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\design\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\design\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\documentation\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\documentation\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\general\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\general\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\go\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\go\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\infrastructure\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\infrastructure\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\javascript-typescript\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\javascript-typescript\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\performance\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\performance\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\rust\pack.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\rust\rules.yaml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
